ID,New ID,Title,A. Obesity focused,B. Health focused,C. Weight loss focused,D. Other disease Focused,E. Food focused,F. Unrelevant,G. Obesity  related,H Diet focused,I weight loss medicine,other medicine,body image /body weight,clothes related,English Translation
P0101,1,三分之二澳人超重或肥胖 营养师提醒重点关注中央肥胖,1,,,,,,,,,,,,Two-thirds of Australians are overweight or obese; nutritionists warn about the importance of central obesity
P0749,2,《热辣滚烫》海外上映 专家如何看贾玲“动物流”与硬拉120kg？,,,1,,,,,,,,,,You Only Live Once premieres overseas: Experts discuss Jia Ling’s “animal-style training” and her 120 kg deadlift
P0959,3,解決肥胖糖尿病 團體與議員呼籲向含糖飲品徵收「糖稅」,,,,,,,,,,,,,"To tackle obesity and diabetes, groups and lawmakers call for a “sugar tax” on sugary drinks"
P0767,,【生活相对论】从中国“体重管理年”计划说起：我们如何处理与食物的关系？,,,,,,,,,,,,,Lifestyle Debate: What China’s “Weight Management Year” plan tells us about our relationship with food
P0841,3,【第三大癌症誘因】調查：半數澳洲人不知飲酒可致癌,,,,1,,,,,,,,,Third leading cancer risk: Survey finds half of Australians unaware alcohol can cause cancer
P0445,4,【專家話你知】破除常見糖尿病迷思,,,,1,,,,,,,,,Experts explain: Debunking common myths about diabetes
P0543,5,新研究发现在澳销售的大多数婴幼儿食品不符合健康标准,,,,,1,,,,,,,,New research finds most baby foods sold in Australia fail to meet health standards
P0754,6,【父母必睇！】一項研究發現澳洲嬰幼兒食品大多不符合健康標準,,,,,1,,,,,,,,Parents must read: Study finds most infant foods in Australia do not meet health standards
P0671,7,澳大利亚成年人肥胖比例增加 推出含糖饮料税会带来哪些改变？,,,,,,,1,,,,,,Obesity among Australian adults is rising – what impact would a sugar tax have?
P0359,8,【圆桌健谈】专家详解轻断食：怎样才能吃得少 身体还更好？,,,,,,,,1,,,,,Roundtable: Experts explain intermittent fasting – how to eat less and stay healthier
P1037,9,逾30%成年人屬肥胖，澳洲是時候推出含糖飲品稅嗎？,,,,,,,1,,,,,,More than 30% of adults are obese – is it time for Australia to introduce a sugar tax?
P0961,10,【認識乳癌系列】誰是高風險族群？拆解迷思: 未生育﹑鋼圈內衣都有關？,,,,1,,,,,,,,,Breast cancer series: Who are the high-risk groups? Debunking myths about childbirth and underwire bras
P0899,11,肥胖兼三高易患代謝綜合症 增患慢性病風險,,,,,,,1,,,,,,"Obesity combined with high blood pressure, lipids and glucose increases risk of metabolic syndrome"
P0365,12,國會委員會籲全澳學校供餐 改善學生健康,,,,,,,,1,,,,,Parliamentary committee calls for nationwide school meals to improve student health
P0098,13,一项提案呼吁全澳学校为学生供餐 这么做好处是什么？,,,,,,,,1,,,,,Proposal calls for school meals across Australia – what are the benefits?
P0720,14,澳洲未來棟樑健康倒退 全國框架追蹤並提建議,,1,,,,,,,,,,,Australia’s future generation facing declining health; national framework proposed for monitoring and recommendations
P0155,15,久坐不动有哪些危害？每天运动22分钟如何降低健康风险？,,1,,,,,,,,,,,What are the harms of prolonged sitting? How 22 minutes of daily exercise can reduce health risks
P0360,16,【圆桌健谈】便宜又方便的健康陷阱：什么是超加工食品？,,,,,1,,,,,,,,Roundtable: Cheap and convenient but unhealthy – what are ultra-processed foods?
P0674,17,澳大利亚研究显示家庭收入影响儿童肥胖,1,,,,,,,,,,,,Australian study shows family income influences childhood obesity
P0115,18,世界最胖男人一辈子被肥胖困扰，多次减肥失败，曾经抑郁自杀，如今只想好好活下去…,1,,,,,,,,,,,,"The world’s fattest man struggled with obesity all his life, failed multiple weight-loss attempts and once attempted suicide; now he just wants to live well"
P0716,19,澳洲是全球肥胖率最高国之一！这类疾病患者激增！政府计划征收“糖税”引争议！,1,,,,,,,,,,,,Australia among countries with highest obesity rates; related diseases rising as proposed sugar tax sparks debate
P0755,20,物价太高，大量澳人营养不良！这个州肥胖率竟居第二，最不爱吃菜！,1,,,,,,,,,,,,Rising living costs lead to malnutrition among many Australians; one state ranks second in obesity and eats the fewest vegetables
P0679,21,澳最新研究，父母这样做，孩子以后超重、蛀牙风险增2倍,,,,,,,1,,,,,,New Australian study: certain parenting practices double children’s risk of obesity and tooth decay
P0701,22,澳洲少女皮包骨，双亲被控虐儿，母辩称是她的同学超重,,,,,,,1,,,,,,"Australian girl extremely thin; parents charged with abuse, mother claims classmates are overweight"
P0328,23,吃面食和吃米饭哪个容易胖？主食这样搭配，控糖又不胖！,1,,,,,,,,,,,,Noodles or rice – which leads to weight gain? How to combine staples to control sugar without gaining weight
P0322,24,吃早餐和不吃早餐，哪个更容易胖？早餐一个改变，疾病风险低了,1,,,,,,,,,,,,Eating breakfast or skipping it – which causes weight gain? One breakfast change may lower disease risk
P1008,25,身体胖寿命短？医生却说：恭喜你！这2个地方“胖”是好事！,1,,,,,,,,,,,,Does being fat shorten life? Doctors say: congratulations – fat in these two areas may be beneficial
P0007,26,5 个专门胖肚子的坏习惯，你可能天天在做,1,,,,,,,,,,,,Five bad habits that specifically cause belly fat – you might do them every day
P0405,27,奇葩！300斤网红坐飞机要求免费加3座，还以命相逼地勤推自己下机？网友：又胖又作！,1,,,,,,,,,,,,Bizarre: 150-kg influencer demands three extra seats on plane and threatens suicide; netizens say “fat and dramatic”
P0557,28,日本贵族胖哥减肥逆袭成最帅校草，人生刚开挂却意外被捕！,1,,,,,,,,,,,,Japanese aristocrat’s overweight guy transforms through weight loss into campus heartthrob – then is unexpectedly arrested
P0921,29,“胖死”成真！欧洲人拿什么拯救失控的体重…连“小瘦子”法国人都“膨胀”了？,1,,,,,,,,,,,,“Dying of obesity” becomes reality: how Europeans are tackling runaway weight – even slim French are “expanding”
P0064,30,Lululemon创始人吐槽: 胖人不应该穿瑜伽裤! 公司紧急回应,1,,,,,,,,,,,,Lululemon founder criticized for saying overweight people should not wear yoga pants; company responds urgently
P0932,31,"英国最胖的人:体重890斤创世界纪录,成功减重‘三个贾玲’!被美国女子求爱追到英国…",1,,,,,,,,,,,,"Britain’s heaviest man once weighed 445 kg, later lost the equivalent of “three Jia Lings” and was pursued to the UK by an American admirer"
P0164,32,亚洲首富之子减肥超200斤，又胖回去了！近照曝光,1,,,,,,,,,,,,Son of Asia’s richest man lost over 100 kg but regained weight; recent photos revealed
P0380,33,墨尔本大学新发现！神奇细胞帮你燃脂减肥，人人都有可能瘦！这下有新希望了！,1,,,,,,,,,,,,New discovery at the University of Melbourne: special cells may help burn fat – offering new hope for weight loss
P0702,34,澳洲年轻人患这种癌症的人数激增266%！快改掉这种饮食习惯,,,,1,,,,,,,,,Cancer rates among young Australians surge by 266%; experts urge changes in dietary habits
P0357,35,国家喊你减肥真相曝光：中国已成超重大国，胖下去后果太严重,1,,,,,,,,,,,,
P0966,36,警惕！澳洲年轻人患这种癌的人数激增266%！,,,,1,,,,,,,,,
P0528,37,挺住，别躺平！30岁后的男人，减掉肚腩才能赢未来,1,,,,,,,,,,,,
P0206,38,【健康知识】这些关于身体健康的常识，一定有人不知道！（建议收藏）,,1,,,,,,,,,,,
P0941,39,“菲律宾警察总长放大招：超重就丢饭碗，减肥or失业你选哪个？”,1,,,,,,,,,,,,
P0010,40,12种“伪蔬菜”，吃太多真的会胖！,1,,,,,,,,,,,,
P0682,41,澳洲42岁母亲体重高达247斤！多次减肥无果，心态爆炸的她不运动减下100斤！从此人生像开了挂一样！,1,,,,,,,,,,,,
P0028,42,44岁女星回应“胖若两人”：焦虑症吃药导致,1,,,,,,,,,,,,
P0530,43,揭秘米饭与面食：哪个更容易让你胖？澳洲减肥保健品推荐,1,,,,,,,,,,,,
P0490,44,惊人报告！澳洲超市里的这些东西，吃多了中风早死风险飙升！吓得手里可乐都掉了！,,,,,1,,,,,,,,
P0581,45,服药发胖曾被催减肥 阿杜：自己舒服就好,1,,,,,,,,,,,,
P0488,46,惊人! 微塑料让人未老先衰 AI对比图吓哭网友！喝个水都能老 还有肥胖找上门,,,,,,,1,,,,,,
P0967,47,警报！预计到2050年，澳洲超1/3的儿童和青少年将面临超重或肥胖！,1,,,,,,,,,,,,
P0633,48,注意！澳洲儿童肥胖危机！最新预测：2050年一半儿童或超重...,1,,,,,,,,,,,,
P0296,49,南澳拟议法律，学校附近禁止开快餐连锁店，以遏制儿童肥胖！,1,,,,,,,,,,,,
P0255,50,“减肥神药”Wegovy即将登陆澳洲药房！为肥胖症患者提供新治疗选择,,,,,,,,,1,,,,
P0706,51,澳洲成年人肥胖比例增加，推出含糖饮料税会带来哪些改变？,1,,,,,,,,,,,,
P0116,52,世界防治肥胖日丨这些关于减肥的“坑”你都踩过吗？,1,,,,,,,,,,,,
P0100,53,七成高血压归因于“胖”！这种肥胖类型最危险……,1,,,,,,,,,,,,
P0897,54,"肥胖会致脑子缩小,体重到这个数,等同大脑衰老12年",1,,,,,,,,,,,,
P0044,55,67岁美国肥胖老太成健美明星 施瓦辛格成她粉丝,1,,,,,,,,,,,,
P1100,56,预防中小学生超重肥胖新政:鼓励每天一节体育课(图),1,,,,,,,,,,,,
P0956,57,解决肥胖危机?英国逾半民众支持对垃圾食品上税,1,,,,,,,,,,,,
P0935,58,英国肥胖求助者增多 消防员4小时提供一次转移救援,1,,,,,,,,,,,,
P0435,59,宣扬饮食失调 女网红遭封号 辩称让美国摆脱肥胖,1,,,,,,,,,,,,
P0123,60,"严重肥胖群体逐渐壮大,为什么说美国富人瘦穷人胖?",1,,,,,,,,,,,,
P0077,61,"TVB“最强body”又晒事业线,童年因肥胖自卑抑郁",1,,,,,,,,,,,,
P0061,62,BMI落伍了!医学专家建议重新定义肥胖,1,,,,,,,,,,,,
P0051,63,"500磅肥胖女子起诉Lyft歧视,司机因担心爆胎而拒载",1,,,,,,,,,,,,
P0124,64,中国三成胖人为腹型肥胖 专家:减重不要求快,1,,,,,,,,,,,,
